age,min,plate,light,time,n,mm_mean,mm_sem,velocity,sem (some sort),,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,on,Start-0:02:30,32,308.136,245.647,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,off,0:02:30-0:05:00,32,371.163,244.768,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,on,0:05:00-0:07:30,32,191.565,93.9366,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 1,off,0:07:30-0:10:00,32,270.191,211.688,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,on,Start-0:02:30,32,442.391,235.395,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,off,0:02:30-0:05:00,32,344.383,36.4051,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,on,0:05:00-0:07:30,32,456.759,197.973,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 3,off,0:07:30-0:10:00,32,370.519,64.2479,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,on,Start-0:02:30,32,94.3412,41.8524,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,off,0:02:30-0:05:00,32,218.852,27.6473,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,on,0:05:00-0:07:30,32,339.384,142.705,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 4,off,0:07:30-0:10:00,32,252.421,35.6067,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,on,Start-0:02:30,32,92.7869,16.7705,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,off,0:02:30-0:05:00,32,303.091,16.3875,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,on,0:05:00-0:07:30,32,75.2354,15.2111,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 5,off,0:07:30-0:10:00,32,268.003,16.4098,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,on,Start-0:02:30,32,99.447,53.4902,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,off,0:02:30-0:05:00,32,196.553,24.4152,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,on,0:05:00-0:07:30,32,60.9618,17.4965,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 6,off,0:07:30-0:10:00,32,210.732,22.1093,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 2,on,Start-0:02:30,32,230.11,107.366,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 2,off,0:02:30-0:05:00,32,142.847,25.0251,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 2,on,0:05:00-0:07:30,32,201.821,95.0831,,,,,,,,,,,,,,,,,,,,,,,
5dpf,2.5,Plate 2,off,0:07:30-0:10:00,32,231.38,21.4039,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 1,on,Start-0:05:00,32,263.229,111.246,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 1,off,0:05:00-0:10:00,32,110.348,29.0147,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 2,on,Start-0:05:00,32,835.487,488.396,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 2,off,0:05:00-0:10:00,32,449.11,286.188,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 3,on,Start-0:05:00,32,622.987,337.22,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 3,off,0:05:00-0:10:00,32,216.981,98.1557,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 4,on,Start-0:05:00,32,272.417,71.8613,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 4,off,0:05:00-0:10:00,32,285.087,129.98,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 5,on,Start-0:05:00,32,104.127,23.6073,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 5,off,0:05:00-0:10:00,32,116.077,30.7431,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 6,on,Start-0:05:00,32,138.422,27.8404,,,,,,,,,,,,,,,,,,,,,,,
5dpf,5,Plate 6,off,0:05:00-0:10:00,32,246.91,115.691,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 1,on,Start-0:10:00,32,227.883,55.7251,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 1,off,0:10:00-0:20:00,32,905.213,58.3178,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 1,on,0:20:00-0:30:00,32,88.2798,16.9854,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 1,off,0:30:00-0:40:00,32,586.629,55.4198,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 2,on,Start-0:10:00,32,635.765,121.353,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 3,off,Start-0:10:00,32,680.651,180.759,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 3,on,0:10:00-0:20:00,32,1146.47,112.092,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 3,off,0:20:00-0:30:00,32,880.449,569.507,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 3,on,0:30:00-0:40:00,32,1043.16,93.6192,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 4,off,Start-0:10:00,32,1492.79,502.175,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 4,on,0:10:00-0:20:00,32,1612.96,112.146,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 4,off,0:20:00-0:30:00,32,1421.24,795.126,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 4,on,0:30:00-0:40:00,32,1322.83,114.297,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 5,off,Start-0:10:00,32,634.339,193.893,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 6,on,Start-0:10:00,32,280.642,43.7088,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 6,off,0:10:00-0:20:00,32,923.066,89.0053,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 6,on,0:20:00-0:30:00,32,215.026,45.1983,,,,,,,,,,,,,,,,,,,,,,,
5dpf,10,Plate 6,off,0:30:00-0:40:00,32,991.24,83.0327,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 1,on,Start-0:02:30,32,102.209,18.3986,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 1,off,0:02:30-0:05:00,32,256.377,16.6198,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 1,on,0:05:00-0:07:30,32,66.7596,12.7161,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 1,off,0:07:30-0:10:00,32,220.091,14.625,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 2,on,Start-0:02:30,32,284.72,213.949,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 2,off,0:02:30-0:05:00,32,192.967,59.3623,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 2,on,0:05:00-0:07:30,32,42.9028,7.26179,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 2,off,0:07:30-0:10:00,32,193.772,17.166,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 3,on,Start-0:02:30,32,301.792,87.8883,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 3,off,0:02:30-0:05:00,32,333.175,30.8973,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 3,on,0:05:00-0:07:30,32,250.85,50.158,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 3,off,0:07:30-0:10:00,32,327.548,27.8737,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 4,on,Start-0:02:30,32,710.852,385.614,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 4,off,0:02:30-0:05:00,32,321.147,107.942,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 4,on,0:05:00-0:07:30,32,528.168,308.072,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 4,off,0:07:30-0:10:00,32,430.946,156.946,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 5,on,Start-0:02:30,32,327.496,269.028,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 5,off,0:02:30-0:05:00,32,333.14,88.8634,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 5,on,0:05:00-0:07:30,32,323.159,251.472,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 5,off,0:07:30-0:10:00,32,392.97,152.308,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 6,on,Start-0:02:30,32,28.134,6.98983,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 6,off,0:02:30-0:05:00,32,129.013,16.6472,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 6,on,0:05:00-0:07:30,32,29.7299,5.6363,,,,,,,,,,,,,,,,,,,,,,,
6dpf,2.5,Plate 6,off,0:07:30-0:10:00,32,186.421,18.6911,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 1,on,Start-0:05:00,32,114.513,18.3843,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 1,off,0:05:00-0:10:00,32,395.624,32.9472,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 1,on,0:10:00-0:15:00,32,121.415,27.6608,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 1,off,0:15:00-0:20:00,32,427.162,36.4503,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 2,on,Start-0:05:00,32,86.993,15.8817,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 2,off,0:05:00-0:10:00,32,511.11,383.355,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 3,on,Start-0:05:00,32,474.101,58.0587,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 3,off,0:05:00-0:10:00,32,938.392,241.113,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 3,on,0:10:00-0:15:00,32,395.376,102.48,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 4,off,Start-0:05:00,32,1975.8,700.636,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 4,on,0:05:00-0:10:00,32,969.638,239.625,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 4,off,0:10:00-0:15:00,32,1539.88,625.233,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 4,on,0:15:00-0:20:00,32,1110.7,334.126,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 5,off,Start-0:05:00,32,543.286,432.701,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 5,on,0:05:00-0:10:00,32,865.99,296.967,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 5,off,0:10:00-0:15:00,32,196.471,33.7763,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 5,on,0:15:00-0:20:00,32,701.318,123.182,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 6,off,Start-0:05:00,32,61.6684,11.9404,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 6,on,0:05:00-0:10:00,32,342.973,33.73,,,,,,,,,,,,,,,,,,,,,,,
6dpf,5,Plate 6,off,0:10:00-0:15:00,32,46.8219,10.5735,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 1,on,Start-0:10:00,32,555.102,385.644,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 1,off,0:10:00-0:20:00,32,689.207,80.8632,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 1,on,0:20:00-0:30:00,32,167.445,32.4714,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 1,off,0:30:00-0:40:00,32,828.254,60.4245,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 2,on,Start-0:10:00,32,196.342,31.519,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 3,off,Start-0:10:00,32,981.274,173.181,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 3,on,0:10:00-0:20:00,32,1589.03,173.223,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 3,off,0:20:00-0:30:00,32,1425.43,643.841,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 3,on,0:30:00-0:40:00,32,2893.73,1032.49,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 4,off,Start-0:10:00,32,4081.83,1539.58,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 4,on,0:10:00-0:20:00,32,2554,853.262,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 4,off,0:20:00-0:30:00,32,3851.7,1705.89,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 4,on,0:30:00-0:40:00,32,2600.8,1014.74,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 5,off,Start-0:10:00,32,1955.52,1099.05,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 5,on,0:10:00-0:20:00,32,1261.57,121.882,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 5,off,0:20:00-0:30:00,32,1044.81,802.777,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 5,on,0:30:00-0:40:00,32,1653.78,571.084,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 6,off,Start-0:10:00,32,447.016,55.2035,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 6,on,0:10:00-0:20:00,32,874.088,66.9039,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 6,off,0:20:00-0:30:00,32,142.708,22.272,,,,,,,,,,,,,,,,,,,,,,,
6dpf,10,Plate 6,on,0:30:00-0:40:00,32,695.599,67.352,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 1,off,Start-0:02:30,10,31.2178,15.0916,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 1,on,0:02:30-0:05:00,10,207.805,110.978,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 1,off,0:05:00-0:07:30,10,39.6215,12.1671,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 1,on,0:07:30-0:10:00,10,481.172,158.248,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 2,off,Start-0:02:30,10,744.923,323.335,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 2,on,0:02:30-0:05:00,10,476.581,201.767,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 2,off,0:05:00-0:07:30,10,708.546,229.292,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 2,on,0:07:30-0:10:00,10,302.733,92.8995,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 3,off,Start-0:02:30,10,138.419,49.5405,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 3,on,0:02:30-0:05:00,10,237.858,30.7233,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 3,off,0:05:00-0:07:30,10,268.279,113.658,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 3,on,0:07:30-0:10:00,10,227.355,15.0029,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 4,off,Start-0:02:30,9,34.1187,9.35219,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 4,on,0:02:30-0:05:00,9,255.319,46.2918,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 4,off,0:05:00-0:07:30,9,169.426,83.7977,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 4,on,0:07:30-0:10:00,9,329.16,41.967,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 5,off,Start-0:02:30,10,73.7916,29.4897,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 5,on,0:02:30-0:05:00,10,288.08,43.4867,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 5,off,0:05:00-0:07:30,10,234.376,103.755,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 5,on,0:07:30-0:10:00,10,234.158,21.9734,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 6,off,Start-0:02:30,10,141.647,58.366,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 6,on,0:02:30-0:05:00,10,217.04,48.583,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 6,off,0:05:00-0:07:30,10,245.261,137.71,,,,,,,,,,,,,,,,,,,,,,,
7dpf,2.5,Plate 6,on,0:07:30-0:10:00,10,263.098,57.7977,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 1,off,Start-0:05:00,10,105.167,48.619,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 1,on,0:05:00-0:10:00,10,606.027,315.024,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 1,off,0:10:00-0:15:00,10,92.0077,32.2743,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 1,on,0:15:00-0:20:00,10,1934.02,1465.61,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 2,off,Start-0:05:00,10,1045.4,722.387,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 2,on,0:05:00-0:10:00,10,580.46,75.6393,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 2,off,0:10:00-0:15:00,10,1903.6,1305.67,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 2,on,0:15:00-0:20:00,10,566.461,96.7891,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 3,off,Start-0:05:00,10,1525.92,1085.33,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 3,on,0:05:00-0:10:00,10,2030.52,1264.91,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 3,off,0:10:00-0:15:00,10,541.64,267.887,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 3,on,0:15:00-0:20:00,10,531.934,70.1902,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 4,off,Start-0:05:00,10,684.599,207.221,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 4,on,0:05:00-0:10:00,10,637.562,78.7594,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 4,off,0:10:00-0:15:00,10,553.583,155.91,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 4,on,0:15:00-0:20:00,10,619.599,75.4744,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 5,off,Start-0:05:00,10,477.813,388.123,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 5,on,0:05:00-0:10:00,10,723.448,162.882,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 5,off,0:10:00-0:15:00,10,347.192,107.443,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 5,on,0:15:00-0:20:00,10,761.886,200.533,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 6,off,Start-0:05:00,10,387.475,147.767,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 6,on,0:05:00-0:10:00,10,574.925,112.932,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 6,off,0:10:00-0:15:00,10,611.781,292.218,,,,,,,,,,,,,,,,,,,,,,,
7dpf,5,Plate 6,on,0:15:00-0:20:00,10,569.205,114.766,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,off,Start-0:10:00,10,994.036,447.383,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,on,0:10:00-0:20:00,10,1780.68,476.028,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,off,0:20:00-0:30:00,10,4036.17,3078.62,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 1,on,0:30:00-0:40:00,10,3969.67,1937.12,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 2,off,Start-0:10:00,10,3316.51,1389.47,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,on,Start-0:10:00,10,776.827,162.741,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,off,0:10:00-0:20:00,10,1080.31,114.869,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,on,0:20:00-0:30:00,10,579.96,188.74,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 3,off,0:30:00-0:40:00,10,932.565,147.78,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,on,Start-0:10:00,10,531.225,150.244,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,off,0:10:00-0:20:00,10,1367.47,164.647,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,on,0:20:00-0:30:00,10,877.408,373.628,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 4,off,0:30:00-0:40:00,10,1163.72,180.537,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,on,Start-0:10:00,10,1287.26,260.163,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,off,0:10:00-0:20:00,10,1436.09,256.539,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,on,0:20:00-0:30:00,10,612.739,212.33,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 5,off,0:30:00-0:40:00,10,1511.39,344.238,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,on,Start-0:10:00,10,811.161,148.18,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,off,0:10:00-0:20:00,10,1299.46,132.723,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,on,0:20:00-0:30:00,10,696.784,159.69,,,,,,,,,,,,,,,,,,,,,,,
7dpf,10,Plate 6,off,0:30:00-0:40:00,10,1212.72,158.104,,,,,,,,,,,,,,,,,,,,,,,